date,account,category,amount,currency,converted amount,currency,description
24/08/2018,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
24/08/2018,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
01/09/2018,A/R 2,Initial balance 'A/R 2',"6,200",PHP,"6,200",PHP,
01/09/2018,A/R 1,Initial balance 'A/R 1',"26,672.47",PHP,"26,672.47",PHP,
15/09/2018,A/R 1,Eating out,"-1,260",PHP,"-1,260",PHP,
18/09/2018,A/R 2,From 'Cash',90,PHP,90,PHP,
24/09/2018,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
24/09/2018,A/R 1,Laundry,"-1,000",PHP,"-1,000",PHP,
24/09/2018,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
24/09/2018,A/R 1,Communications,-774.8,PHP,-774.8,PHP,
24/09/2018,A/R 2,To 'Cash',-90,PHP,-90,PHP,
28/09/2018,A/R 2,From 'BPI',"25,000",PHP,"25,000",PHP,
02/10/2018,A/R 2,Food,-52,PHP,-52,PHP,
02/10/2018,A/R 2,Food,-18,PHP,-18,PHP,
02/10/2018,A/R 2,Transport,-14,PHP,-14,PHP,
06/10/2018,A/R 1,Food,-300,PHP,-300,PHP,
12/10/2018,A/R 2,From 'Cash',98,PHP,98,PHP,PJ dimsum
13/10/2018,A/R 1,Eating out,"-1,000",PHP,"-1,000",PHP,
20/10/2018,A/R 1,Communications,"-1,097.52",PHP,"-1,097.52",PHP,
24/10/2018,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
24/10/2018,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
24/10/2018,A/R 1,Laundry,"-1,000",PHP,"-1,000",PHP,
26/10/2018,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
26/10/2018,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
26/10/2018,A/R 1,Laundry,"-1,000",PHP,"-1,000",PHP,
01/11/2018,A/R 1,Phone,"-1,500",PHP,"-1,500",PHP,
01/11/2018,A/R 1,Bills,"-2,500",PHP,"-2,500",PHP,
01/11/2018,A/R 1,Laundry,"-1,000",PHP,"-1,000",PHP,
05/11/2018,A/R 1,Food,-117,PHP,-117,PHP,
06/11/2018,A/R 1,Pets,"-5,000",PHP,"-5,000",PHP,Bambie meds
01/12/2018,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
01/12/2018,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
